Description,I have / own / Am doing this,I am planning to have / own / do this at some point in the future,I have no plans to have / own / do this,I don't know what this is,NET
A Smart Meter,65%,15%,18%,2%,100%
Providing your consent to an energy company to have energy consumption data at 30 minute intervals,24%,17%,30%,30%,100%
An EPC for your home (An Energy Performance Certificate),37%,19%,26%,18%,100%
Cavity Wall insulation,52%,16%,24%,8%,100%
Loft Insulation,69%,14%,13%,3%,100%
Double or triple Glazed windows that are less than 10 years old,60%,21%,16%,3%,100%
"An EPC rating on your home of C, B or A",30%,24%,21%,25%,100%
Changed my light bulbs to energy saving ones,71%,19%,9%,2%,100%
A smart thermostat,34%,28%,30%,9%,100%
Started monitoring my energy usage,66%,17%,12%,4%,100%
Signed up to a 'turn down and save' scheme,10%,23%,29%,38%,100%
Signed up to a 'free energy' scheme,12%,21%,28%,40%,100%
"Researched green technologies (Solar Panels, Batteries, Air Source Heat Pump, Electric Vehicle)",19%,31%,43%,8%,100%
"Explored or signed up to agile, time of use, economy 7, flexibility energy tariffs",13%,27%,37%,24%,100%
